CMDLINE python3 thread/client.py
MEM 31.796875 1729535363.8681
MEM 31.796875 1729535363.9733
MEM 31.796875 1729535364.0741
MEM 31.796875 1729535364.1793
MEM 31.796875 1729535364.2841
MEM 31.796875 1729535364.3892
MEM 31.796875 1729535364.4943
MEM 31.796875 1729535364.5994
MEM 31.796875 1729535364.7046
MEM 31.796875 1729535364.8097
MEM 31.796875 1729535364.9148
MEM 31.796875 1729535365.0199
MEM 31.796875 1729535365.1215
MEM 31.750000 1729535365.2267
MEM 31.750000 1729535365.3318
MEM 31.750000 1729535365.4369
MEM 31.750000 1729535365.5400
MEM 31.750000 1729535365.6403
MEM 31.750000 1729535365.7454
MEM 31.750000 1729535365.8505
MEM 31.750000 1729535365.9557
MEM 31.750000 1729535366.0608
MEM 31.750000 1729535366.1615
MEM 31.750000 1729535366.2667
MEM 31.750000 1729535366.3718
MEM 31.750000 1729535366.4769
MEM 31.750000 1729535366.5789
MEM 31.750000 1729535366.6840
MEM 31.750000 1729535366.7877
MEM 31.750000 1729535366.8928
MEM 31.750000 1729535366.9970
MEM 31.750000 1729535367.1021
MEM 31.750000 1729535367.2073
MEM 31.734375 1729535367.3124
MEM 31.750000 1729535367.4175
MEM 31.750000 1729535367.5227
MEM 31.750000 1729535367.6254
MEM 31.750000 1729535367.7306
MEM 31.750000 1729535367.8353
MEM 31.750000 1729535367.9404
MEM 31.765625 1729535368.0450
MEM 31.765625 1729535368.1501
MEM 31.765625 1729535368.2552
MEM 31.765625 1729535368.3581
MEM 31.765625 1729535368.4586
MEM 31.765625 1729535368.5638
MEM 31.765625 1729535368.6689
MEM 31.765625 1729535368.7728
MEM 31.765625 1729535368.8779
MEM 31.765625 1729535368.9823
MEM 31.765625 1729535369.0851
MEM 31.765625 1729535369.1902
MEM 31.765625 1729535369.2904
MEM 31.765625 1729535369.3955
MEM 31.765625 1729535369.5007
MEM 31.765625 1729535369.6058
MEM 31.765625 1729535369.7079
MEM 31.765625 1729535369.8131
MEM 31.765625 1729535369.9182
MEM 31.765625 1729535370.0227
MEM 31.765625 1729535370.1279
MEM 31.765625 1729535370.2300
MEM 31.765625 1729535370.3311
MEM 31.765625 1729535370.4362
MEM 31.765625 1729535370.5414
MEM 31.765625 1729535370.6465
MEM 31.765625 1729535370.7516
MEM 31.765625 1729535370.8567
MEM 31.765625 1729535370.9619
MEM 31.765625 1729535371.0670
MEM 31.765625 1729535371.1721
MEM 31.765625 1729535371.2772
MEM 31.765625 1729535371.3809
MEM 31.765625 1729535371.4848
MEM 31.765625 1729535371.5854
MEM 31.765625 1729535371.6879
MEM 31.765625 1729535371.7930
MEM 31.765625 1729535371.8978
MEM 31.765625 1729535372.0029
MEM 31.765625 1729535372.1048
MEM 31.765625 1729535372.2099
MEM 31.781250 1729535372.3150
MEM 31.781250 1729535372.4178
MEM 31.781250 1729535372.5229
MEM 31.781250 1729535372.6274
MEM 31.781250 1729535372.7325
MEM 31.781250 1729535372.8376
MEM 31.781250 1729535372.9427
MEM 31.781250 1729535373.0478
MEM 31.781250 1729535373.1529
MEM 31.781250 1729535373.2580
MEM 31.781250 1729535373.3594
MEM 31.781250 1729535373.4628
MEM 31.781250 1729535373.5679
