CMDLINE python3 async/client.py
MEM 26.703125 1729535058.2085
MEM 26.703125 1729535058.3136
MEM 26.703125 1729535058.4187
MEM 26.703125 1729535058.5235
MEM 26.703125 1729535058.6286
MEM 26.703125 1729535058.7337
MEM 26.703125 1729535058.8341
MEM 26.703125 1729535058.9386
MEM 26.703125 1729535059.0437
MEM 26.703125 1729535059.1489
MEM 26.703125 1729535059.2541
MEM 26.703125 1729535059.3592
MEM 26.703125 1729535059.4640
MEM 26.703125 1729535059.5644
MEM 26.703125 1729535059.6695
MEM 26.703125 1729535059.7747
MEM 26.703125 1729535059.8797
MEM 26.593750 1729535059.9849
MEM 26.593750 1729535060.0866
MEM 26.593750 1729535060.1917
MEM 26.593750 1729535060.2968
MEM 26.593750 1729535060.4014
MEM 26.593750 1729535060.5059
MEM 26.593750 1729535060.6085
MEM 26.593750 1729535060.7135
MEM 26.593750 1729535060.8186
MEM 26.593750 1729535060.9238
MEM 26.593750 1729535061.0279
MEM 26.593750 1729535061.1314
MEM 26.593750 1729535061.2327
MEM 26.593750 1729535061.3347
MEM 26.593750 1729535061.4399
MEM 26.593750 1729535061.5431
MEM 26.593750 1729535061.6434
MEM 26.593750 1729535061.7486
MEM 26.593750 1729535061.8502
MEM 26.593750 1729535061.9505
MEM 26.640625 1729535062.0556
MEM 26.640625 1729535062.1607
MEM 26.640625 1729535062.2627
MEM 26.640625 1729535062.3678
MEM 26.640625 1729535062.4696
MEM 26.640625 1729535062.5747
MEM 26.640625 1729535062.6793
MEM 26.640625 1729535062.7844
MEM 26.640625 1729535062.8895
MEM 26.656250 1729535062.9947
MEM 26.656250 1729535063.0996
MEM 26.656250 1729535063.2047
MEM 26.656250 1729535063.3099
MEM 26.656250 1729535063.4150
MEM 26.656250 1729535063.5155
MEM 26.656250 1729535063.6207
MEM 26.656250 1729535063.7258
MEM 26.656250 1729535063.8303
MEM 26.656250 1729535063.9355
MEM 26.656250 1729535064.0357
MEM 26.656250 1729535064.1380
MEM 26.718750 1729535064.2445
MEM 26.812500 1729535064.3494
MEM 26.812500 1729535064.4504
MEM 26.812500 1729535064.5530
MEM 26.812500 1729535064.6573
MEM 26.812500 1729535064.7593
MEM 26.812500 1729535064.8635
MEM 26.812500 1729535064.9686
MEM 26.812500 1729535065.0737
MEM 26.812500 1729535065.1785
MEM 26.812500 1729535065.2836
MEM 26.812500 1729535065.3849
MEM 26.812500 1729535065.4858
MEM 26.812500 1729535065.5910
MEM 26.812500 1729535065.6959
MEM 26.812500 1729535065.7975
